"date","km2","type"
2000-02-01,0,"hot_dry"
2000-03-01,0,"hot_dry"
2000-04-01,4987.20253753662,"hot_dry"
2000-05-01,0,"hot_dry"
2000-06-01,3742.15668106079,"hot_dry"
2000-07-01,0,"hot_dry"
2000-08-01,0,"hot_dry"
2000-09-01,0,"hot_dry"
2000-10-01,0,"hot_dry"
2000-11-01,0,"hot_dry"
2000-12-01,121336.6757164,"hot_dry"
2001-01-01,0,"hot_dry"
2001-02-01,0,"hot_dry"
2001-03-01,0,"hot_dry"
2001-04-01,25201.1417884827,"hot_dry"
2001-05-01,54343.4165611267,"hot_dry"
2001-06-01,0,"hot_dry"
2001-07-01,0,"hot_dry"
2001-08-01,0,"hot_dry"
2001-09-01,0,"hot_dry"
2001-10-01,2228.0727519989,"hot_dry"
2001-11-01,0,"hot_dry"
2001-12-01,0,"hot_dry"
2002-01-01,0,"hot_dry"
2002-02-01,0,"hot_dry"
2002-03-01,0,"hot_dry"
2002-04-01,0,"hot_dry"
2002-05-01,8332.46396636963,"hot_dry"
2002-06-01,0,"hot_dry"
2002-07-01,0,"hot_dry"
2002-08-01,0,"hot_dry"
2002-09-01,7179.88651847839,"hot_dry"
2002-10-01,0,"hot_dry"
2002-11-01,0,"hot_dry"
2002-12-01,0,"hot_dry"
2003-01-01,0,"hot_dry"
2003-02-01,0,"hot_dry"
2003-03-01,0,"hot_dry"
2003-04-01,0,"hot_dry"
2003-05-01,0,"hot_dry"
2003-06-01,0,"hot_dry"
2003-07-01,37962.0797519684,"hot_dry"
2003-08-01,62751.4537277222,"hot_dry"
2003-09-01,0,"hot_dry"
2003-10-01,797.734531402588,"hot_dry"
2003-11-01,0,"hot_dry"
2003-12-01,0,"hot_dry"
2004-01-01,0,"hot_dry"
2004-02-01,0,"hot_dry"
2004-03-01,0,"hot_dry"
2004-04-01,0,"hot_dry"
2004-05-01,0,"hot_dry"
2004-06-01,296.16429901123,"hot_dry"
2004-07-01,0,"hot_dry"
2004-08-01,0,"hot_dry"
2004-09-01,0,"hot_dry"
2004-10-01,0,"hot_dry"
2004-11-01,0,"hot_dry"
2004-12-01,0,"hot_dry"
2005-01-01,0,"hot_dry"
2005-02-01,135.926605224609,"hot_dry"
2005-03-01,504632.321395874,"hot_dry"
2005-04-01,0,"hot_dry"
2005-05-01,0,"hot_dry"
2005-06-01,0,"hot_dry"
2005-07-01,0,"hot_dry"
2005-08-01,0,"hot_dry"
2005-09-01,0,"hot_dry"
2005-10-01,0,"hot_dry"
2005-11-01,0,"hot_dry"
2005-12-01,0,"hot_dry"
2006-01-01,0,"hot_dry"
2006-02-01,0,"hot_dry"
2006-03-01,0,"hot_dry"
2006-04-01,0,"hot_dry"
2006-05-01,0,"hot_dry"
2006-06-01,0,"hot_dry"
2006-07-01,0,"hot_dry"
2006-08-01,0,"hot_dry"
2006-09-01,0,"hot_dry"
2006-10-01,0,"hot_dry"
2006-11-01,0,"hot_dry"
2006-12-01,0,"hot_dry"
2007-01-01,0,"hot_dry"
2007-02-01,0,"hot_dry"
2007-03-01,0,"hot_dry"
2007-04-01,0,"hot_dry"
