"lag","mean","q25","q75","n_events","elev_zone","elev_band"
5,0.0492923742307822,-0.202737345778534,0.489605315238742,26,2,"500–1500 m"
6,0.115554881168487,-0.139198590583256,0.628624289771514,26,2,"500–1500 m"
7,0.165080667810638,-0.203996933377577,0.541272416406339,26,2,"500–1500 m"
8,0.161073093765508,-0.0352452164634496,0.548452726626688,26,2,"500–1500 m"
9,0.0788076004245818,-0.0413329145789769,0.447327624667194,26,2,"500–1500 m"
10,0.0339548071764392,-0.254115827877555,0.502202447172892,26,2,"500–1500 m"
11,0.0641171596575494,-0.0745762854381955,0.585328362459105,26,2,"500–1500 m"
12,0.085406387976267,-0.0842543191124788,0.57804076985338,26,2,"500–1500 m"
-6,0.145304304982612,-0.165260002620264,0.515360578957863,29,3,"1500–2500 m"
-5,0.113744556660904,-0.247377376091122,0.347683578156188,29,3,"1500–2500 m"
-4,0.174912570022512,-0.114614712611114,0.467496572331211,29,3,"1500–2500 m"
-3,0.21644189376688,-0.222227865442064,0.668337316244329,29,3,"1500–2500 m"
-2,0.229672751461441,-0.163430323277581,0.531061972058092,29,3,"1500–2500 m"
-1,0.187394647554852,-0.147583585310233,0.736368825619493,29,3,"1500–2500 m"
0,0.124018039340628,-0.541496177154063,0.688290347348692,29,3,"1500–2500 m"
1,0.14692814009353,-0.442923982505934,0.668337316244329,29,3,"1500–2500 m"
2,0.166243807911717,-0.430218572346838,0.791658284296979,29,3,"1500–2500 m"
3,0.0370681743958094,-0.322768355739598,0.616978939750241,29,3,"1500–2500 m"
4,-0.00234206227631107,-0.557009011135493,0.517082269228687,29,3,"1500–2500 m"
5,-0.00718589012517474,-0.390004560617416,0.458956424655474,29,3,"1500–2500 m"
6,0.108388754985529,-0.247377376091122,0.709535183919624,29,3,"1500–2500 m"
7,0.292000036493899,0.0337764742227961,0.717960763766605,29,3,"1500–2500 m"
8,0.28754952805505,0.121635721595516,0.668337316244329,29,3,"1500–2500 m"
9,0.155300362528541,-0.0829845247292767,0.508577358079624,29,3,"1500–2500 m"
10,0.0298511105683089,-0.148371519480483,0.492856085640679,29,3,"1500–2500 m"
11,0.032633915518941,-0.13350828603115,0.515360578957863,29,3,"1500–2500 m"
