"elev_zone","elev_band","n","mean","sd","med","q25","q75"
1,"<500 m",13361,0.0869596342792801,0.86036631183476,0.115081634316485,-0.605609302110452,0.712450119990424
2,"500–1500 m",7277,0.415444986391516,0.592134429223165,0.391683078195874,0.0437469257634975,0.727391609813138
3,"1500–2500 m",3644,0.367415080592055,0.454265953481212,0.375382387940072,0.0346809288111306,0.676083138935139
4,"2500–3500 m",911,0.429211287938229,0.586003832272787,0.514025921358322,0.107313055656693,0.854918571589158
5,">=3500 m",2039,-8.14612282706821e-05,0.857740575585502,-0.0364420604745592,-0.622137660906748,0.586037166535717
