"elev_zone","elev_band","date","km2","type"
1,"<500 m",1998-11-01,0,"hot_dry"
1,"<500 m",1998-12-01,0,"hot_dry"
1,"<500 m",1999-01-01,0,"hot_dry"
1,"<500 m",1999-02-01,0,"hot_dry"
1,"<500 m",1999-03-01,0,"hot_dry"
1,"<500 m",1999-04-01,0,"hot_dry"
1,"<500 m",1999-05-01,0,"hot_dry"
1,"<500 m",1999-06-01,0,"hot_dry"
1,"<500 m",1999-07-01,0,"hot_dry"
1,"<500 m",1999-08-01,0,"hot_dry"
1,"<500 m",1999-09-01,0,"hot_dry"
1,"<500 m",1999-10-01,0,"hot_dry"
1,"<500 m",1999-11-01,0,"hot_dry"
1,"<500 m",1999-12-01,0,"hot_dry"
1,"<500 m",2000-01-01,0,"hot_dry"
1,"<500 m",2000-02-01,0,"hot_dry"
1,"<500 m",2000-03-01,0,"hot_dry"
1,"<500 m",2000-04-01,4987.20253753662,"hot_dry"
1,"<500 m",2000-05-01,0,"hot_dry"
1,"<500 m",2000-06-01,0,"hot_dry"
1,"<500 m",2000-07-01,0,"hot_dry"
1,"<500 m",2000-08-01,0,"hot_dry"
1,"<500 m",2000-09-01,0,"hot_dry"
1,"<500 m",2000-10-01,0,"hot_dry"
1,"<500 m",2000-11-01,0,"hot_dry"
1,"<500 m",2000-12-01,5691.97194099426,"hot_dry"
1,"<500 m",2001-01-01,0,"hot_dry"
1,"<500 m",2001-02-01,0,"hot_dry"
1,"<500 m",2001-03-01,0,"hot_dry"
1,"<500 m",2001-04-01,5297.82265090942,"hot_dry"
1,"<500 m",2001-05-01,9081.75198554993,"hot_dry"
1,"<500 m",2001-06-01,0,"hot_dry"
1,"<500 m",2001-07-01,0,"hot_dry"
1,"<500 m",2001-08-01,0,"hot_dry"
1,"<500 m",2001-09-01,0,"hot_dry"
1,"<500 m",2001-10-01,2228.0727519989,"hot_dry"
1,"<500 m",2001-11-01,0,"hot_dry"
1,"<500 m",2001-12-01,0,"hot_dry"
1,"<500 m",2002-01-01,0,"hot_dry"
1,"<500 m",2002-02-01,0,"hot_dry"
1,"<500 m",2002-03-01,0,"hot_dry"
1,"<500 m",2002-04-01,0,"hot_dry"
1,"<500 m",2002-05-01,0,"hot_dry"
1,"<500 m",2002-06-01,0,"hot_dry"
1,"<500 m",2002-07-01,0,"hot_dry"
1,"<500 m",2002-08-01,0,"hot_dry"
1,"<500 m",2002-09-01,6758.35796356201,"hot_dry"
1,"<500 m",2002-10-01,0,"hot_dry"
1,"<500 m",2002-11-01,0,"hot_dry"
1,"<500 m",2002-12-01,0,"hot_dry"
1,"<500 m",2003-01-01,0,"hot_dry"
1,"<500 m",2003-02-01,0,"hot_dry"
1,"<500 m",2003-03-01,0,"hot_dry"
1,"<500 m",2003-04-01,0,"hot_dry"
1,"<500 m",2003-05-01,0,"hot_dry"
1,"<500 m",2003-06-01,0,"hot_dry"
1,"<500 m",2003-07-01,35828.5551586151,"hot_dry"
1,"<500 m",2003-08-01,61908.5058517456,"hot_dry"
1,"<500 m",2003-09-01,0,"hot_dry"
1,"<500 m",2003-10-01,0,"hot_dry"
1,"<500 m",2003-11-01,0,"hot_dry"
1,"<500 m",2003-12-01,0,"hot_dry"
1,"<500 m",2004-01-01,0,"hot_dry"
1,"<500 m",2004-02-01,0,"hot_dry"
1,"<500 m",2004-03-01,0,"hot_dry"
1,"<500 m",2004-04-01,0,"hot_dry"
1,"<500 m",2004-05-01,0,"hot_dry"
1,"<500 m",2004-06-01,26.9802913665771,"hot_dry"
1,"<500 m",2004-07-01,0,"hot_dry"
1,"<500 m",2004-08-01,0,"hot_dry"
1,"<500 m",2004-09-01,0,"hot_dry"
1,"<500 m",2004-10-01,0,"hot_dry"
1,"<500 m",2004-11-01,0,"hot_dry"
1,"<500 m",2004-12-01,0,"hot_dry"
1,"<500 m",2005-01-01,0,"hot_dry"
1,"<500 m",2005-02-01,135.926605224609,"hot_dry"
1,"<500 m",2005-03-01,268612.808122635,"hot_dry"
1,"<500 m",2005-04-01,0,"hot_dry"
1,"<500 m",2005-05-01,0,"hot_dry"
1,"<500 m",2005-06-01,0,"hot_dry"
1,"<500 m",2005-07-01,0,"hot_dry"
1,"<500 m",2005-08-01,0,"hot_dry"
1,"<500 m",2005-09-01,0,"hot_dry"
1,"<500 m",2005-10-01,0,"hot_dry"
1,"<500 m",2005-11-01,0,"hot_dry"
1,"<500 m",2005-12-01,0,"hot_dry"
1,"<500 m",2006-01-01,0,"hot_dry"
1,"<500 m",2006-02-01,0,"hot_dry"
1,"<500 m",2006-03-01,0,"hot_dry"
1,"<500 m",2006-04-01,0,"hot_dry"
1,"<500 m",2006-05-01,0,"hot_dry"
1,"<500 m",2006-06-01,0,"hot_dry"
1,"<500 m",2006-07-01,0,"hot_dry"
1,"<500 m",2006-08-01,0,"hot_dry"
1,"<500 m",2006-09-01,0,"hot_dry"
1,"<500 m",2006-10-01,0,"hot_dry"
1,"<500 m",2006-11-01,0,"hot_dry"
1,"<500 m",2006-12-01,0,"hot_dry"
1,"<500 m",2007-01-01,0,"hot_dry"
1,"<500 m",2007-02-01,0,"hot_dry"
1,"<500 m",2007-03-01,0,"hot_dry"
1,"<500 m",2007-04-01,0,"hot_dry"
1,"<500 m",2007-05-01,25.5074729919434,"hot_dry"
1,"<500 m",2007-06-01,0,"hot_dry"
1,"<500 m",2007-07-01,0,"hot_dry"
1,"<500 m",2007-08-01,0,"hot_dry"
1,"<500 m",2007-09-01,0,"hot_dry"
1,"<500 m",2007-10-01,0,"hot_dry"
1,"<500 m",2007-11-01,0,"hot_dry"
1,"<500 m",2007-12-01,0,"hot_dry"
1,"<500 m",2008-01-01,0,"hot_dry"
1,"<500 m",2008-02-01,0,"hot_dry"
1,"<500 m",2008-03-01,0,"hot_dry"
1,"<500 m",2008-04-01,7416.74150276184,"hot_dry"
1,"<500 m",2008-05-01,0,"hot_dry"
1,"<500 m",2008-06-01,0,"hot_dry"
1,"<500 m",2008-07-01,0,"hot_dry"
1,"<500 m",2008-08-01,0,"hot_dry"
1,"<500 m",2008-09-01,0,"hot_dry"
1,"<500 m",2008-10-01,0,"hot_dry"
1,"<500 m",2008-11-01,0,"hot_dry"
1,"<500 m",2008-12-01,0,"hot_dry"
1,"<500 m",2009-01-01,0,"hot_dry"
1,"<500 m",2009-02-01,0,"hot_dry"
1,"<500 m",2009-03-01,0,"hot_dry"
1,"<500 m",2009-04-01,0,"hot_dry"
1,"<500 m",2009-05-01,0,"hot_dry"
1,"<500 m",2009-06-01,0,"hot_dry"
1,"<500 m",2009-07-01,0,"hot_dry"
1,"<500 m",2009-08-01,0,"hot_dry"
1,"<500 m",2009-09-01,0,"hot_dry"
1,"<500 m",2009-10-01,0,"hot_dry"
1,"<500 m",2009-11-01,0,"hot_dry"
1,"<500 m",2009-12-01,0,"hot_dry"
1,"<500 m",2010-01-01,0,"hot_dry"
1,"<500 m",2010-02-01,0,"hot_dry"
1,"<500 m",2010-03-01,0,"hot_dry"
1,"<500 m",2010-04-01,0,"hot_dry"
1,"<500 m",2010-05-01,0,"hot_dry"
1,"<500 m",2010-06-01,0,"hot_dry"
1,"<500 m",2010-07-01,0,"hot_dry"
1,"<500 m",2010-08-01,0,"hot_dry"
1,"<500 m",2010-09-01,0,"hot_dry"
1,"<500 m",2010-10-01,0,"hot_dry"
1,"<500 m",2010-11-01,0,"hot_dry"
1,"<500 m",2010-12-01,0,"hot_dry"
1,"<500 m",2011-01-01,0,"hot_dry"
1,"<500 m",2011-02-01,0,"hot_dry"
1,"<500 m",2011-03-01,8239.83033752441,"hot_dry"
1,"<500 m",2011-04-01,395.724765777588,"hot_dry"
1,"<500 m",2011-05-01,0,"hot_dry"
1,"<500 m",2011-06-01,0,"hot_dry"
1,"<500 m",2011-07-01,0,"hot_dry"
1,"<500 m",2011-08-01,0,"hot_dry"
1,"<500 m",2011-09-01,0,"hot_dry"
1,"<500 m",2011-10-01,0,"hot_dry"
1,"<500 m",2011-11-01,1224.97258758545,"hot_dry"
1,"<500 m",2011-12-01,0,"hot_dry"
1,"<500 m",2012-01-01,0,"hot_dry"
1,"<500 m",2012-02-01,0,"hot_dry"
1,"<500 m",2012-03-01,0,"hot_dry"
1,"<500 m",2012-04-01,0,"hot_dry"
1,"<500 m",2012-05-01,0,"hot_dry"
1,"<500 m",2012-06-01,0,"hot_dry"
1,"<500 m",2012-07-01,0,"hot_dry"
1,"<500 m",2012-08-01,0,"hot_dry"
1,"<500 m",2012-09-01,0,"hot_dry"
1,"<500 m",2012-10-01,0,"hot_dry"
1,"<500 m",2012-11-01,0,"hot_dry"
1,"<500 m",2012-12-01,0,"hot_dry"
1,"<500 m",2013-01-01,0,"hot_dry"
1,"<500 m",2013-02-01,0,"hot_dry"
1,"<500 m",2013-03-01,0,"hot_dry"
1,"<500 m",2013-04-01,0,"hot_dry"
1,"<500 m",2013-05-01,0,"hot_dry"
1,"<500 m",2013-06-01,0,"hot_dry"
1,"<500 m",2013-07-01,0,"hot_dry"
1,"<500 m",2013-08-01,0,"hot_dry"
1,"<500 m",2013-09-01,0,"hot_dry"
1,"<500 m",2013-10-01,0,"hot_dry"
1,"<500 m",2013-11-01,0,"hot_dry"
1,"<500 m",2013-12-01,0,"hot_dry"
1,"<500 m",2014-01-01,0,"hot_dry"
1,"<500 m",2014-02-01,0,"hot_dry"
1,"<500 m",2014-03-01,0,"hot_dry"
1,"<500 m",2014-04-01,0,"hot_dry"
1,"<500 m",2014-05-01,0,"hot_dry"
1,"<500 m",2014-06-01,0,"hot_dry"
1,"<500 m",2014-07-01,0,"hot_dry"
1,"<500 m",2014-08-01,0,"hot_dry"
1,"<500 m",2014-09-01,0,"hot_dry"
1,"<500 m",2014-10-01,0,"hot_dry"
1,"<500 m",2014-11-01,0,"hot_dry"
1,"<500 m",2014-12-01,0,"hot_dry"
1,"<500 m",2015-01-01,31847.3115367889,"hot_dry"
1,"<500 m",2015-02-01,0,"hot_dry"
1,"<500 m",2015-03-01,0,"hot_dry"
1,"<500 m",2015-04-01,0,"hot_dry"
1,"<500 m",2015-05-01,0,"hot_dry"
1,"<500 m",2015-06-01,562.15051651001,"hot_dry"
1,"<500 m",2015-07-01,3781.92112350464,"hot_dry"
1,"<500 m",2015-08-01,0,"hot_dry"
1,"<500 m",2015-09-01,0,"hot_dry"
1,"<500 m",2015-10-01,0,"hot_dry"
1,"<500 m",2015-11-01,0,"hot_dry"
1,"<500 m",2015-12-01,0,"hot_dry"
1,"<500 m",2016-01-01,0,"hot_dry"
1,"<500 m",2016-02-01,0,"hot_dry"
1,"<500 m",2016-03-01,0,"hot_dry"
1,"<500 m",2016-04-01,0,"hot_dry"
1,"<500 m",2016-05-01,0,"hot_dry"
1,"<500 m",2016-06-01,0,"hot_dry"
1,"<500 m",2016-07-01,0,"hot_dry"
1,"<500 m",2016-08-01,0,"hot_dry"
1,"<500 m",2016-09-01,0,"hot_dry"
1,"<500 m",2016-10-01,0,"hot_dry"
1,"<500 m",2016-11-01,0,"hot_dry"
1,"<500 m",2016-12-01,0,"hot_dry"
1,"<500 m",2017-01-01,27.7930183410645,"hot_dry"
1,"<500 m",2017-02-01,0,"hot_dry"
1,"<500 m",2017-03-01,0,"hot_dry"
1,"<500 m",2017-04-01,0,"hot_dry"
1,"<500 m",2017-05-01,0,"hot_dry"
1,"<500 m",2017-06-01,0,"hot_dry"
1,"<500 m",2017-07-01,0,"hot_dry"
1,"<500 m",2017-08-01,0,"hot_dry"
1,"<500 m",2017-09-01,0,"hot_dry"
1,"<500 m",2017-10-01,0,"hot_dry"
1,"<500 m",2017-11-01,0,"hot_dry"
1,"<500 m",2017-12-01,0,"hot_dry"
1,"<500 m",2018-01-01,0,"hot_dry"
1,"<500 m",2018-02-01,0,"hot_dry"
1,"<500 m",2018-03-01,0,"hot_dry"
1,"<500 m",2018-04-01,0,"hot_dry"
1,"<500 m",2018-05-01,0,"hot_dry"
1,"<500 m",2018-06-01,0,"hot_dry"
1,"<500 m",2018-07-01,0,"hot_dry"
1,"<500 m",2018-08-01,0,"hot_dry"
1,"<500 m",2018-09-01,0,"hot_dry"
1,"<500 m",2018-10-01,37177.1584587097,"hot_dry"
1,"<500 m",2018-11-01,0,"hot_dry"
1,"<500 m",2018-12-01,0,"hot_dry"
1,"<500 m",2019-01-01,6849.23383140564,"hot_dry"
1,"<500 m",2019-02-01,0,"hot_dry"
1,"<500 m",2019-03-01,0,"hot_dry"
1,"<500 m",2019-04-01,0,"hot_dry"
1,"<500 m",2019-05-01,0,"hot_dry"
1,"<500 m",2019-06-01,0,"hot_dry"
1,"<500 m",2019-07-01,0,"hot_dry"
1,"<500 m",2019-08-01,0,"hot_dry"
1,"<500 m",2019-09-01,0,"hot_dry"
1,"<500 m",2019-10-01,0,"hot_dry"
1,"<500 m",2019-11-01,0,"hot_dry"
1,"<500 m",2019-12-01,0,"hot_dry"
1,"<500 m",2020-01-01,0,"hot_dry"
1,"<500 m",2020-02-01,0,"hot_dry"
1,"<500 m",2020-03-01,0,"hot_dry"
1,"<500 m",2020-04-01,0,"hot_dry"
1,"<500 m",2020-05-01,0,"hot_dry"
1,"<500 m",2020-06-01,0,"hot_dry"
1,"<500 m",2020-07-01,9334.14479827881,"hot_dry"
1,"<500 m",2020-08-01,0,"hot_dry"
1,"<500 m",2020-09-01,3819.93228530884,"hot_dry"
1,"<500 m",2020-10-01,0,"hot_dry"
1,"<500 m",2020-11-01,0,"hot_dry"
1,"<500 m",2020-12-01,0,"hot_dry"
1,"<500 m",2021-01-01,0,"hot_dry"
1,"<500 m",2021-02-01,0,"hot_dry"
1,"<500 m",2021-03-01,0,"hot_dry"
1,"<500 m",2021-04-01,0,"hot_dry"
1,"<500 m",2021-05-01,0,"hot_dry"
1,"<500 m",2021-06-01,0,"hot_dry"
1,"<500 m",2021-07-01,15991.1245307922,"hot_dry"
1,"<500 m",2021-08-01,0,"hot_dry"
1,"<500 m",2021-09-01,5352.9383354187,"hot_dry"
1,"<500 m",2021-10-01,596.088521957397,"hot_dry"
1,"<500 m",2021-11-01,0,"hot_dry"
1,"<500 m",2021-12-01,0,"hot_dry"
1,"<500 m",2022-01-01,77.9985294342041,"hot_dry"
1,"<500 m",2022-02-01,42773.4871635437,"hot_dry"
1,"<500 m",2022-03-01,0,"hot_dry"
1,"<500 m",2022-04-01,0,"hot_dry"
1,"<500 m",2022-05-01,0,"hot_dry"
1,"<500 m",2022-06-01,3338.8738899231,"hot_dry"
1,"<500 m",2022-07-01,78.3810405731201,"hot_dry"
1,"<500 m",2022-08-01,49021.430688858,"hot_dry"
1,"<500 m",2022-09-01,1264.50105667114,"hot_dry"
1,"<500 m",2022-10-01,0,"hot_dry"
1,"<500 m",2022-11-01,0,"hot_dry"
1,"<500 m",2022-12-01,0,"hot_dry"
1,"<500 m",2023-01-01,0,"hot_dry"
1,"<500 m",2023-02-01,0,"hot_dry"
1,"<500 m",2023-03-01,10977.6711349487,"hot_dry"
1,"<500 m",2023-04-01,71409.4582538605,"hot_dry"
1,"<500 m",2023-05-01,1639.00899887085,"hot_dry"
1,"<500 m",2023-06-01,0,"hot_dry"
1,"<500 m",2023-07-01,0,"hot_dry"
1,"<500 m",2023-08-01,0,"hot_dry"
1,"<500 m",2023-09-01,360.826648712158,"hot_dry"
1,"<500 m",2023-10-01,623.187654495239,"hot_dry"
1,"<500 m",2023-11-01,0,"hot_dry"
1,"<500 m",2023-12-01,0,"hot_dry"
1,"<500 m",2024-01-01,0,"hot_dry"
1,"<500 m",2024-02-01,83136.7274856567,"hot_dry"
1,"<500 m",2024-03-01,0,"hot_dry"
1,"<500 m",2024-04-01,0,"hot_dry"
1,"<500 m",2024-05-01,0,"hot_dry"
1,"<500 m",2024-06-01,0,"hot_dry"
1,"<500 m",2024-07-01,0,"hot_dry"
1,"<500 m",2024-08-01,71415.5243225098,"hot_dry"
1,"<500 m",2024-09-01,2596.62434387207,"hot_dry"
1,"<500 m",2024-10-01,0,"hot_dry"
1,"<500 m",2024-11-01,0,"hot_dry"
1,"<500 m",2024-12-01,51.0746459960938,"hot_dry"
1,"<500 m",2025-01-01,108.980178833008,"hot_dry"
1,"<500 m",2025-02-01,0,"hot_dry"
1,"<500 m",2025-03-01,0,"hot_dry"
1,"<500 m",2025-04-01,0,"hot_dry"
1,"<500 m",2025-05-01,432.06856918335,"hot_dry"
1,"<500 m",2025-06-01,22870.4425449371,"hot_dry"
1,"<500 m",2025-07-01,35810.9296779633,"hot_dry"
1,"<500 m",2025-08-01,0,"hot_dry"
1,"<500 m",2025-09-01,0,"hot_dry"
1,"<500 m",2025-10-01,0,"hot_dry"
1,"<500 m",2025-11-01,0,"hot_dry"
1,"<500 m",2025-12-01,0,"hot_dry"
2,"500–1500 m",1985-01-01,0,"hot_dry"
2,"500–1500 m",1985-02-01,0,"hot_dry"
2,"500–1500 m",1985-03-01,0,"hot_dry"
2,"500–1500 m",1985-04-01,0,"hot_dry"
2,"500–1500 m",1985-05-01,0,"hot_dry"
2,"500–1500 m",1985-06-01,0,"hot_dry"
2,"500–1500 m",1985-07-01,0,"hot_dry"
2,"500–1500 m",1985-08-01,0,"hot_dry"
2,"500–1500 m",1985-09-01,0,"hot_dry"
2,"500–1500 m",1985-10-01,0,"hot_dry"
2,"500–1500 m",1985-11-01,0,"hot_dry"
2,"500–1500 m",1985-12-01,0,"hot_dry"
2,"500–1500 m",1986-01-01,0,"hot_dry"
2,"500–1500 m",1986-02-01,329.608516693115,"hot_dry"
2,"500–1500 m",1986-03-01,0,"hot_dry"
2,"500–1500 m",1986-04-01,0,"hot_dry"
2,"500–1500 m",1986-05-01,0,"hot_dry"
2,"500–1500 m",1986-06-01,0,"hot_dry"
2,"500–1500 m",1986-07-01,0,"hot_dry"
2,"500–1500 m",1986-08-01,0,"hot_dry"
2,"500–1500 m",1986-09-01,0,"hot_dry"
2,"500–1500 m",1986-10-01,0,"hot_dry"
2,"500–1500 m",1986-11-01,0,"hot_dry"
2,"500–1500 m",1986-12-01,0,"hot_dry"
2,"500–1500 m",1987-01-01,0,"hot_dry"
2,"500–1500 m",1987-02-01,0,"hot_dry"
2,"500–1500 m",1987-03-01,0,"hot_dry"
2,"500–1500 m",1987-04-01,0,"hot_dry"
2,"500–1500 m",1987-05-01,0,"hot_dry"
2,"500–1500 m",1987-06-01,0,"hot_dry"
2,"500–1500 m",1987-07-01,0,"hot_dry"
2,"500–1500 m",1987-08-01,0,"hot_dry"
2,"500–1500 m",1987-09-01,0,"hot_dry"
2,"500–1500 m",1987-10-01,0,"hot_dry"
2,"500–1500 m",1987-11-01,0,"hot_dry"
2,"500–1500 m",1987-12-01,0,"hot_dry"
2,"500–1500 m",1988-01-01,17014.9149055481,"hot_dry"
2,"500–1500 m",1988-02-01,0,"hot_dry"
2,"500–1500 m",1988-03-01,0,"hot_dry"
2,"500–1500 m",1988-04-01,0,"hot_dry"
2,"500–1500 m",1988-05-01,0,"hot_dry"
2,"500–1500 m",1988-06-01,0,"hot_dry"
2,"500–1500 m",1988-07-01,133.22647857666,"hot_dry"
2,"500–1500 m",1988-08-01,20602.0737056732,"hot_dry"
2,"500–1500 m",1988-09-01,4910.4242401123,"hot_dry"
2,"500–1500 m",1988-10-01,0,"hot_dry"
2,"500–1500 m",1988-11-01,0,"hot_dry"
2,"500–1500 m",1988-12-01,0,"hot_dry"
