elev_zone,elev_band,q75.hotdry_freq,q75.hotdry_meandur,q75.hotdry_resistance,q75.hotdry_recovery
1,<500 m,6,1,0.580018476,2.166666746
2,500–1500 m,4,1,0.586059749,2
3,1500–2500 m,5,1,0.528929472,3
4,2500–3500 m,5,1,0.530967951,2.666666746
5,>=3500 m,4,1,0.331066117,4.75
